,abbreviation,at_bats,average_batter_age,average_pitcher_age,away_losses,away_record,away_wins,balks,bases_on_balls,bases_on_walks_given,bases_on_walks_given_per_nine_innings,batters_faced,batting_average,complete_game_shutouts,complete_games,doubles,earned_runs_against,earned_runs_against_plus,extra_inning_losses,extra_inning_record,extra_inning_wins,fielding_independent_pitching,games,games_finished,grounded_into_double_plays,hit_pitcher,hits,hits_allowed,hits_per_nine_innings,home_losses,home_record,home_runs,home_runs_against,home_runs_per_nine_innings,home_wins,innings_pitched,intentional_bases_on_balls,interleague_record,last_ten_games_record,last_thirty_games_record,last_twenty_games_record,league,losses,losses_last_ten_games,losses_last_thirty_games,losses_last_twenty_games,losses_vs_left_handed_pitchers,losses_vs_right_handed_pitchers,losses_vs_teams_over_500,losses_vs_teams_under_500,luck,name,number_of_pitchers,number_players_used,on_base_percentage,on_base_plus_slugging_percentage,on_base_plus_slugging_percentage_plus,opposing_runners_left_on_base,plate_appearances,pythagorean_win_loss,rank,record_vs_left_handed_pitchers,record_vs_right_handed_pitchers,record_vs_teams_over_500,record_vs_teams_under_500,run_difference,runners_left_on_base,runs,runs_against,runs_allowed_per_game,runs_batted_in,sacrifice_flies,sacrifice_hits,saves,shutouts,simple_rating_system,single_run_losses,single_run_record,single_run_wins,slugging_percentage,stolen_bases,streak,strength_of_schedule,strikeouts,strikeouts_per_base_on_balls,strikeouts_per_nine_innings,times_caught_stealing,times_hit_by_pitch,times_struck_out,total_bases,total_runs,triples,whip,wild_pitches,win_percentage,wins,wins_last_ten_games,wins_last_thirty_games,wins_last_twenty_games,wins_vs_left_handed_pitchers,wins_vs_right_handed_pitchers,wins_vs_teams_over_500,wins_vs_teams_under_500
BOS,BOS,5623,27.7,28.9,30,51-30,51,3,569,512,3.2,6166,0.268,0,2,355,3.75,117,5,8-5,8,3.82,162,160,130,55,1509,1305,8.1,24,57-24,208,176,1.1,57,1458.2,38,16-4,,,,AL,54,,,,16,38,33,21,5,Boston Red Sox,23,44,0.339,0.792,112,1143,6302,103-59,1,21-16,87-38,41-33,67-21,1.4,1124,5.4,4.0,3.99,829,48,7,46,14,1.2,14,25-14,25,0.453,125,,-0.2,1558,3.04,9.6,31,55,1253,2550,876,31,1.246,51,0.667,108,,,,21,87,41,67
HOU,HOU,5453,28.2,30.0,24,57-24,57,4,565,435,2.7,5913,0.255,2,3,278,3.11,130,6,5-6,5,3.23,162,159,156,61,1390,1164,7.2,35,46-35,205,152,0.9,46,1455.0,19,13-7,,,,AL,59,,,,23,36,38,21,-6,Houston Astros,22,41,0.329,0.754,109,1014,6146,109-53,2,37-23,66-36,41-38,62-21,1.6,1052,4.9,3.3,3.3,763,45,14,46,12,1.5,24,24-24,24,0.425,71,,-0.1,1687,3.88,10.4,26,61,1197,2319,797,18,1.099,67,0.636,103,,,,37,66,41,62
NYY,NYY,5515,27.2,28.8,34,47-34,47,4,625,494,3.1,6141,0.249,2,2,269,3.78,116,5,9-5,9,3.63,162,160,107,62,1374,1311,8.1,28,53-28,267,177,1.1,53,1456.1,21,11-9,,,,AL,62,,,,15,47,30,32,1,New York Yankees,27,49,0.329,0.781,108,1103,6271,99-63,3,30-15,70-47,41-30,59-32,1.1,1100,5.3,4.1,4.13,821,59,10,49,11,0.9,17,23-17,23,0.451,63,,-0.2,1634,3.31,10.1,21,62,1421,2490,851,23,1.239,73,0.617,100,,,,30,70,41,59
OAK,OAK,5579,28.0,29.2,34,47-34,47,2,550,474,2.9,6099,0.252,2,2,322,3.81,109,6,13-6,13,4.18,162,160,136,76,1407,1303,8.0,31,50-31,227,184,1.1,50,1465.2,18,12-8,,,,AL,65,,,,25,40,40,25,2,Oakland Athletics,34,53,0.325,0.764,109,1028,6255,95-67,4,32-25,65-40,33-40,64-25,0.9,1085,5.0,4.2,4.16,778,44,6,44,14,0.8,14,31-14,31,0.439,35,,0.0,1237,2.61,7.6,21,76,1381,2450,813,20,1.212,86,0.599,97,,,,32,65,33,64
MIL,MIL,5542,28.8,28.8,37,45-37,45,5,537,553,3.4,6114,0.252,0,0,252,3.73,110,7,9-7,9,4.01,163,163,128,58,1398,1259,7.8,30,51-30,218,173,1.1,51,1461.0,32,13-7,,,,NL,67,,,,19,48,46,21,5,Milwaukee Brewers,30,53,0.323,0.747,99,1072,6210,91-72,5,24-19,72-48,49-46,47-21,0.6,1106,4.6,4.0,4.04,711,41,29,49,14,0.6,19,33-19,33,0.424,124,,0.0,1428,2.58,8.8,32,58,1458,2352,754,24,1.24,50,0.589,96,,,,24,72,49,47
CHC,CHC,5624,27.2,30.2,37,44-37,44,3,576,622,3.8,6264,0.258,0,1,286,3.65,118,8,11-8,11,4.14,163,162,107,78,1453,1319,8.0,31,51-31,167,157,1.0,51,1476.1,67,13-7,,,,NL,68,,,,13,55,46,22,1,Chicago Cubs,35,50,0.333,0.744,95,1190,6369,94-69,6,22-13,73-55,49-46,46-22,0.7,1224,4.7,4.0,3.96,722,46,40,46,18,0.7,25,26-25,26,0.41,66,,0.0,1333,2.14,8.1,38,78,1388,2308,761,34,1.315,46,0.583,95,,,,22,73,49,46
LAD,LAD,5572,28.1,29.2,34,47-34,47,10,647,422,2.6,6096,0.25,0,0,296,3.38,115,7,8-7,8,3.6,163,163,119,61,1394,1279,7.8,37,45-37,235,179,1.1,45,1476.0,47,12-8,,,,NL,71,,,,25,46,38,33,-10,Los Angeles Dodgers,31,52,0.333,0.774,109,1058,6358,102-61,7,40-25,52-46,51-38,41-33,1.2,1163,4.9,3.7,3.74,756,39,39,48,11,1.2,22,22-22,22,0.442,75,,0.1,1565,3.71,9.5,24,61,1436,2461,804,33,1.152,39,0.564,92,,,,40,52,51,41
CLE,CLE,5595,29.4,29.4,39,42-39,42,2,554,407,2.5,6071,0.259,2,5,297,3.77,116,9,4-9,4,3.79,162,157,98,80,1447,1349,8.3,32,49-32,216,200,1.2,49,1457.1,32,12-8,,,,AL,71,,,,21,50,31,40,-7,Cleveland Indians,27,49,0.332,0.766,105,1051,6300,98-64,8,22-21,69-50,23-31,68-40,1.0,1147,5.0,4.0,4.0,786,44,25,41,17,0.6,24,22-24,22,0.434,135,,-0.4,1544,3.79,9.5,36,80,1189,2430,818,19,1.205,54,0.562,91,,,,22,69,23,68
COL,COL,5541,28.7,27.9,38,44-38,44,8,507,525,3.3,6154,0.256,0,0,280,4.33,108,6,5-6,5,4.06,163,163,114,51,1418,1378,8.5,34,47-34,210,184,1.1,47,1452.1,38,13-7,,,,NL,72,,,,27,45,44,28,6,Colorado Rockies,21,41,0.322,0.757,90,1052,6178,85-78,9,33-27,58-45,48-44,43-28,0.2,1067,4.8,4.6,4.57,748,37,42,51,10,0.4,15,26-15,26,0.435,95,,0.2,1409,2.68,8.7,33,51,1397,2412,780,42,1.31,70,0.558,91,,,,33,58,48,43
ATL,ATL,5582,27.3,27.7,34,47-34,47,8,511,635,3.9,6155,0.257,1,2,314,3.75,108,8,6-8,6,3.98,162,160,99,66,1433,1236,7.6,38,43-38,175,153,0.9,43,1456.2,53,8-12,,,,NL,72,,,,26,46,40,32,-2,Atlanta Braves,35,58,0.324,0.742,99,1128,6251,92-70,10,21-26,69-46,38-40,52-32,0.6,1143,4.7,4.1,4.06,717,43,49,40,11,0.6,12,23-12,23,0.417,90,,0.0,1423,2.24,8.8,36,66,1290,2330,759,29,1.284,61,0.556,90,,,,21,69,38,52
